x,y,z
-0.90967,1.40851,9.87281
-0.400707,28.5035,5.64993
-0.129047,38.8348,-3.42668
0.047722,26.2077,-11.3303
-0.538697,15.6083,2.04452
-11.408,29.2298,-1.84859
11.5545,28.7806,-1.58952
-10.2275,30.8946,-12.1345
9.40784,30.5994,-10.2281
1.7633,53.5839,5.07454
-0.407857,10.616,-1.0151
-2.65433,10.6965,-0.0607882
1.41724,10.6956,-0.086091
-0.438084,32.7491,6.52882
-15.3532,6.40797,32.7826
15.2143,3.58102,31.7185
-19.8574,34.0848,27.4342
20.1878,31.2215,28.3108
-1.36917,-28.6466,18.4008
0.0539351,38.249,9.88248
-32.5211,4.84971,-11.0137
31.532,5.32807,-9.53465
-17.5427,11.7076,-3.61761
19.9244,13.9441,-1.31036
-20.0551,4.11125,-12.9414
19.9811,5.50058,-11.8762
-13.6267,42.0119,7.451
19.0871,44.0262,5.91717
-14.0434,79.2676,-1.35538
28.9136,74.704,-2.33849
-12.5497,-16.1362,5.96467
9.594,-12.907,4.78501
