roi,side,jaccard,kappa
cZI,left,0.88±0.01,0.94±0.01
cZI,right,0.84±0.02,0.91±0.01
fct,left,0.80±0.14,0.89±0.09
fct,right,0.80±0.14,0.88±0.08
fl,left,0.76±0.15,0.86±0.09
fl,right,0.79±0.14,0.88±0.09
ft,left,0.79±0.01,0.89±0.01
ft,right,0.80±0.03,0.89±0.02
hf,left,0.79±0.06,0.88±0.04
hf,right,0.79±0.07,0.88±0.04
hfields,left,0.81±0.04,0.89±0.02
hfields,right,0.82±0.03,0.90±0.02
ml,left,0.82±0.20,0.89±0.12
ml,right,0.86±0.01,0.92±0.01
rZI,left,0.78±0.14,0.87±0.09
rZI,right,0.79±0.11,0.88±0.07
ZI,left,0.83±0.09,0.91±0.05
ZI,right,0.83±0.08,0.90±0.05
