subjid,roi,side,vol_voxels,vol_mm,centroid_x,centroid_y,centroid_z,mean,sd
sub-C001,fl,L,103,35.324608,-2.881301,40.269578,12.037162,1409.029126,130.342645,
sub-C002,fl,L,138,47.326054,-3.935413,37.121504,8.522442,1436.949275,150.293208,
sub-C003,fl,L,138,47.329662,-2.965002,46.413911,-9.859744,1294.391304,97.599766,
sub-C004,fl,L,104,35.666786,-3.178861,41.650146,24.975633,1383.519231,105.824546,
sub-C005,fl,L,91,31.207762,-5.445171,37.149214,-3.741887,1345.076923,123.543355,
sub-C006,fl,L,103,35.325378,-8.774670,47.756842,-2.185031,1400.611650,129.015901,
sub-C007,fl,L,125,42.870140,-3.005793,46.657678,-0.478115,1279.840000,101.617198,
sub-C008,fl,L,109,37.379906,-6.936734,49.279534,-10.520507,1358.779817,139.444955,
sub-C009,fl,L,130,44.583973,-5.957026,42.067169,0.534676,1337.992308,122.747519,
sub-C010,fl,L,124,42.530418,-2.431201,37.057052,-2.501363,1328.338710,106.852903,
sub-C011,fl,L,133,45.615318,-6.604355,36.762349,2.154271,1351.872180,168.613572,
sub-C012,fl,L,111,38.066193,-5.450157,43.383340,-10.374508,1362.729730,128.043100,
sub-C013,fl,L,112,38.416000,-5.336938,37.672640,4.136817,1432.638940,150.020779,
sub-C014,fl,L,179,61.396999,-10.052858,40.236441,3.197829,1461.600541,259.360787,
sub-C015,fl,L,131,44.932995,-6.514879,42.474138,-4.305472,1274.002985,140.150489,
sub-C016,fl,L,76,26.068001,-7.924015,32.019616,-41.123987,1309.668804,57.295465,
sub-C017,fl,L,104,35.671997,-3.781893,40.387474,-6.397511,1397.721747,150.319037,
sub-C018,fl,L,155,53.164997,-4.137299,43.257550,0.749944,1360.615975,120.099853,
sub-C019,fl,L,140,48.019997,-6.861614,42.067377,-17.064990,1357.225660,179.779189,
sub-C020,fl,L,127,43.561001,-2.799303,37.589090,-4.214763,1323.999134,134.979689,
sub-C021,fl,L,155,53.164997,-9.659792,40.306446,-24.182716,1318.656369,144.194236,
sub-C022,fl,L,143,49.049000,-8.929605,32.808259,-18.869374,1293.895008,134.877689,
sub-C023,fl,L,122,41.845997,-9.680388,38.683768,-17.944258,1356.151540,118.840088,
sub-C024,fl,L,123,42.188995,-7.669521,32.175329,5.260908,1346.985324,164.262698,
sub-C025,fl,L,131,44.932995,-10.846091,41.185349,-13.731544,1313.335789,178.753962,
sub-C026,fl,L,126,43.217999,-4.039513,37.349072,1.577514,1351.747411,127.235892,
sub-C027,fl,L,100,34.299999,-6.443815,40.602552,-7.422057,1336.507015,149.502073,
sub-C028,fl,L,140,48.014034,-7.939090,46.704041,-3.236592,1342.864286,132.115777,
sub-C029,fl,L,117,40.131001,-8.258037,39.227093,-7.150030,1322.290489,130.627897,
sub-C030,fl,L,117,40.126888,-10.470665,45.278695,-5.647823,1354.213675,139.796825,
sub-C031,fl,L,112,38.416000,-3.131351,32.462774,-10.193670,1375.431983,117.795358,
sub-C032,fl,L,110,37.730000,-11.047323,32.856026,-3.034949,1176.627029,140.277230,
